speaker_file	speaker	index	start	end	concept_id	raw_name	interval_text	source_survey	source_item	audition_prefix	import_index	manuallyAdjusted	normalized_match
Khan01.json	Khan01	6	1350.632	1351.5240000000001	223	seven	six	JBIL	7	7	6	False	False
Khan01.json	Khan01	31	1933.4299999999998	1934.0589999999997	250	hair (women)	hair	JBIL	32	32	31	False	False
Khan01.json	Khan01	33	1972.3780000000002	1973.18	132	nose (A)	nose	JBIL	34	34	33	False	True
Khan01.json	Khan01	42	2269.52	2270.4	133	elbow (A)	elbow	JBIL	43	43	42	False	True
Khan01.json	Khan01	63	3582.547	3583.679	287	wife	my wife	JBIL	66	66	63	False	False
Khan01.json	Khan01	67	3618.651	3619.72	290	son	my son	JBIL	69	69	67	False	False
Khan01.json	Khan01	70	3649.0	3650.173	292	daughter	my daughter	JBIL	71	71	70	False	False
Khan01.json	Khan01	71	3674.376	3675.1380000000004	136	father (A)	father	JBIL	72	72	71	False	True
Khan01.json	Khan01	72	3771.427	3772.418	293	mother (B)	mother	JBIL	73	73	72	False	True
Khan01.json	Khan01	74	3821.658	3822.4049999999997	613	sister A	sister	JBIL	75	75	74	False	True
Khan01.json	Khan01	75	3822.523	3823.152	295	groom	sister	JBIL	76	76	75	False	False
Khan01.json	Khan01	76	3823.475	3823.999	295	groom	sister	JBIL	76	76	76	False	False
Khan01.json	Khan01	77	3856.267	3857.297	296	bride	groom	JBIL	77	77	77	False	False
Khan01.json	Khan01	100	5145.686	5146.464	591	tree branch	branch	JBIL	100	100	100	False	False
Khan01.json	Khan01	107	5541.827	5542.578	614	grass A	grass	JBIL	107	107	107	False	True
Khan01.json	Khan01	108	5564.842	5565.704	614	grass A	grass	JBIL	107	107	108	False	True
Khan01.json	Khan01	115	5853.247	5854.222000000001	202	night (A)	night	JBIL	114	114	115	False	True
Khan01.json	Khan01	117	5928.693	5929.448	146	wind (A)	wind	JBIL	116	116	117	False	True
Khan01.json	Khan01	124	6105.186	6106.148	144	snow (A)	ice	JBIL	123	123	124	False	False
Khan01.json	Khan01	125	6125.203	6126.313	148	fog (A)	snow	JBIL	124	124	125	False	False
Khan01.json	Khan01	126	6146.888	6147.702	142	rain (A)	fog	JBIL	125	125	126	False	False
Khan01.json	Khan01	127	6167.768	6168.989	616	rain (B)	rain	JBIL	126	126	127	False	True
Khan01.json	Khan01	128	6191.209	6192.226	615	river A	river	JBIL	127	127	128	False	True
Khan01.json	Khan01	129	6369.018	6370.445	615	river A	river	JBIL	127	127	129	False	True
Khan01.json	Khan01	148	7225.969	7226.953	157	hungry (A)	hungry	JBIL	146	146	148	False	True
Khan01.json	Khan01	149	7275.53	7276.686	158	thirsty (A)	thirsty	JBIL	147	147	149	False	True
Khan01.json	Khan01	150	7303.209	7304.242	359	bitter (B)	bitter	JBIL	148	148	150	False	True
Khan01.json	Khan01	152	7387.635	7388.964	362	good (B)	good	JBIL	150	150	152	False	True
Khan01.json	Khan01	153	7442.151	7443.16	156	bad (A)	bad !	JBIL	151	151	153	False	False
Khan01.json	Khan01	157	7601.515	7602.5160000000005	159	sweet (A)	sweet	JBIL	155	155	157	False	True
Khan01.json	Khan01	166	7801.599	7802.559	153	heavy (A)	heavy	JBIL	164	164	166	False	True
Khan01.json	Khan01	168	7833.27	7834.216	376	dirty (B)	dirty	JBIL	166	166	168	False	True
Khan01.json	Khan01	170	7866.96	7867.613	161	wet (A)	wet	JBIL	168	168	170	False	True
Khan01.json	Khan01	171	7908.222	7909.195	150	big (A)	big	JBIL	169	169	171	False	True
Khan01.json	Khan01	172	7939.2	7940.104	151	small (A)	small	JBIL	170	170	172	False	True
Khan01.json	Khan01	180	8211.509	8212.441	167	yellow (A)	yellow	JBIL	178	178	180	False	True
Khan01.json	Khan01	181	8221.707999999999	8222.89	386	red (B)	red	JBIL	179	179	181	False	True
Khan01.json	Khan01	182	8250.0	8251.042	165	black (A)	black	JBIL	180	180	182	False	True
Khan01.json	Khan01	183	8305.475999999999	8306.490999999998	164	white (A)	white	JBIL	181	181	183	False	True
Khan01.parse.json	Khan01	6	1350.632	1351.5240000000001	223	seven	six	JBIL	7	7	6	False	False
Khan01.parse.json	Khan01	31	1933.4299999999998	1934.0589999999997	250	hair (women)	hair	JBIL	32	32	31	False	False
Khan01.parse.json	Khan01	33	1972.3780000000002	1973.18	132	nose (A)	nose	JBIL	34	34	33	False	True
Khan01.parse.json	Khan01	42	2269.52	2270.4	133	elbow (A)	elbow	JBIL	43	43	42	False	True
Khan01.parse.json	Khan01	63	3582.547	3583.679	287	wife	my wife	JBIL	66	66	63	False	False
Khan01.parse.json	Khan01	67	3618.651	3619.72	290	son	my son	JBIL	69	69	67	False	False
