speaker	display_id	display_name	display_source_survey	display_source_item	intended_raw_keys	matched_raw_id	matched_raw_label	matched_source_survey	matched_source_item	first_matched_start	first_matched_end	first_matched_text	first_matched_audition_prefix	intended_interval_count
Fail01	28	sister of husband	KLQ	2.17	29	28	wife of brother	KLQ	2.16	6309.546	6310.469	wife of brother	2.16	1
Fail01	29	brother of wife	KLQ	2.18	30	29	sister of husband	KLQ	2.17	6329.0	6329.71	sister of husband	2.17	1
Fail01	30	sister of wife	KLQ	2.19	31	30	brother of wife	KLQ	2.18	6526.599	6527.678	brother of wife	2.18	1
Fail01	31	son of sister	KLQ	2.20	32	31	sister of wife	KLQ	2.19	6558.111	6559.439	sister of wife	2.19	1
Fail01	32	daughter of sister	KLQ	2.21	33	32	son of sister	KLQ	2.20	6572.097	6572.999	son of sister	2.20	1
Fail01	33	son of brother	KLQ	2.22	34	33	daughter of sister	KLQ	2.21	6580.0	6580.924	daughter of sister	2.21	1
Fail01	34	daughter of brother	KLQ	2.23	35	34	son of brother	KLQ	2.22	6598.0	6599.0	son of brother	2.22	1
Fail01	35	step-father	KLQ	2.24	36	35	daughter of brother	KLQ	2.23	6600.6	6601.371	daughter of brother	2.23	1
Fail01	36	step-mother	KLQ	2.25	37	36	step-father	KLQ	2.24	6626.293	6627.371999999999	step-father	2.24	1
Fail01	37	step-son	KLQ	2.26	38;606;607	37	step-mother	KLQ	2.25	6634.422	6635.522	step-mother	2.25	1
Fail01	38	step-daughter	KLQ	2.27	39;608;609	38	step-son	KLQ	2.26	6647.902	6648.847	step-son	2.26	1
Fail01	39	child of one’s daughter	KLQ	2.28	40	39	step-daughter	KLQ	2.27	6750.073	6751.152	step-daughter	2.27	1
Fail01	40	child of one’s son	KLQ	2.29	41;588	40	child of one’s daughter	KLQ	2.28	6790.208	6791.245999999999	child of one’s daughter	2.28	1
Fail01	41	rain	KLQ	3.1	42	41	child of one’s son	KLQ	2.29	6913.131	6914.097000000001	child of one’s son	2.29	2
Fail01	42	thunder	KLQ	3.2	43	42	rain	KLQ	3.1	6920.704	6921.608	rain	3.1	1
Fail01	43	snow	KLQ	3.4	44	43	thunder	KLQ	3.2	6928.268	6929.491	thunder	3.2	3
Fail01	44	ice	JBIL	123	45;144	44	snow	KLQ	3.4	6947.129	6948.208	snow	3.4	1
Fail01	45	hail	KLQ	3.6	46;47;145	45	ice	JBIL	123	1942.897	1943.769	ice	123	1
Fail01	48	God	KLQ	3.11	50	48	wind	KLQ	3.7	6965.681	6966.585	wind	3.7	1
Fail01	49	hill	KLQ	3.13	51;600	49	shade	KLQ	3.10	7002.529	7003.649	shade	3.10	1
Fail01	50	salt	KLQ	3.14	52	50	God	KLQ	3.11	7013.405	7014.237	God	3.11	1
Fail01	51	big	KLQ	4.1	53	51	hill	KLQ	3.13	7043.819	7044.999000000001	hill	3.13	2
Fail01	52	small	KLQ	4.2	54	52	salt	KLQ	3.14	7055.204	7055.999	salt	3.14	2
Fail01	53	long	KLQ	4.3	55	53	big	KLQ	4.1	7063.663	7064.423	big	4.1	1
Fail01	54	short	KLQ	4.4	56	54	small	KLQ	4.2	7065.678	7066.346	small	4.2	1
Fail01	55	high	KLQ	4.5	57	55	long	KLQ	4.3	7068.661	7069.411	long	4.3	1
Fail01	56	low (wall)	KLQ	4.6	58	56	short	KLQ	4.4	7071.293	7072.074	short	4.4	1
Fail01	57	wide (road)	KLQ	4.7	59	57	high	KLQ	4.5	7076.564	7077.314	high	4.5	1
Fail01	58	narrow (road)	KLQ	4.8	60	58	low (wall)	KLQ	4.6	7091.388	7092.241	low (wall)	4.6	1
Fail01	59	fat (man)	KLQ	4.9	61	59	wide (road)	KLQ	4.7	7098.803	7099.584	wide (road)	4.7	1
Fail01	60	thin (man)	KLQ	4.10	62	60	narrow (road)	KLQ	4.8	7101.531	7102.394	narrow (road)	4.8	1
Fail01	61	thick (stick)	KLQ	4.11	63	61	fat (man)	KLQ	4.9	7106.465	7107.195	fat (man)	4.9	1
Fail01	62	thin (stick)	KLQ	4.12	64	62	thin (man)	KLQ	4.10	7123.231	7124.237999999999	thin (man)	4.10	1
Fail01	63	weak	KLQ	4.14	65	63	thick (stick)	KLQ	4.11	7136.846	7137.473	thick (stick)	4.11	1
